Title,Note,URL,Tags,Comment
,,,,
TRATT.USHIGORO Ebisu,מסעדת ואגיו מומלצת!,https://www.google.com/maps/place/TRATT.USHIGORO+Ebisu/data=!4m2!3m1!1s0x60188b3fee0654fd:0x69f5d92e5b21f3c,,
RUMBLE CRUMBLE 渋谷本店,,https://www.google.com/maps/place/RUMBLE+CRUMBLE+%E6%B8%8B%E8%B0%B7%E6%9C%AC%E5%BA%97/data=!4m2!3m1!1s0x60188d1d28f0aff7:0x78b0ae88c3cf6cc4,,
Oishi Park,,https://www.google.com/maps/place/Oishi+Park/data=!4m2!3m1!1s0x60195fa68c0b2b95:0xa22e530b3a652904,,
Ubuyagasaki,,https://www.google.com/maps/place/Ubuyagasaki/data=!4m2!3m1!1s0x60195e2340fe2951:0xa0a8c458c2beeeb8,,
Mount Yoshino,,https://www.google.com/maps/place/Mount+Yoshino/data=!4m2!3m1!1s0x6006c7b2a3a994d3:0xd8ab9041137873a0,,
Katsudon-ya Zuicho,קטסודון טעים,https://www.google.com/maps/place/Katsudon-ya+Zuicho/data=!4m2!3m1!1s0x60188cac12069909:0x41c48d07160668ef,,
Ishiura Shrine,,https://www.google.com/maps/place/Ishiura+Shrine/data=!4m2!3m1!1s0x5ff833812e30f9d5:0xb13f687f1123bdb5,,
Bamboo Forest Path,,https://www.google.com/maps/place/Bamboo+Forest+Path/data=!4m2!3m1!1s0x6019ecd0a274ab7d:0xa6bbff741ec6b66f,,
Fūunji Shinjuku,ראמן טעים,https://www.google.com/maps/place/F%C5%ABunji+Shinjuku/data=!4m2!3m1!1s0x60188ccfae1f4fe7:0x2d6a64fb6fab829c,,
Gotemba Premium Outlets,מרכז קניות שווה,https://www.google.com/maps/place/Gotemba+Premium+Outlets/data=!4m2!3m1!1s0x601975df174819d7:0x50b0b54408d32384,,
白馬岩岳ゴンドラリフトノア山麓駅,,https://www.google.com/maps/place/%E7%99%BD%E9%A6%AC%E5%B2%A9%E5%B2%B3%E3%82%B4%E3%83%B3%E3%83%89%E3%83%A9%E3%83%AA%E3%83%95%E3%83%88%E3%83%8E%E3%82%A2%E5%B1%B1%E9%BA%93%E9%A7%85/data=!4m2!3m1!1s0x5ff7cd885e8a1eff:0x14e6e39e3d47f111,,
Gujō-Hachiman Station,,https://www.google.com/maps/place/Guj%C5%8D-Hachiman+Station/data=!4m2!3m1!1s0x6002f0641a07729d:0x6b18e7f38e5bbb8c,,
Zenkōji temple,,https://www.google.com/maps/place/Zenk%C5%8Dji+temple/data=!4m2!3m1!1s0x601d86e28d762787:0xf4fa99fb61340f2e,,
Narai-juku,,https://www.google.com/maps/place/Narai-juku/data=!4m2!3m1!1s0x601d1e289ace8a29:0x4780b1bf34ee88cd,,
Tsukesoba Kanda Katsumoto,ראמן,https://www.google.com/maps/place/Tsukesoba+Kanda+Katsumoto/data=!4m2!3m1!1s0x60188c16d198db05:0x78c893344dd7f6dd,,
Chūkasoba Katsumoto,ראמן,https://www.google.com/maps/place/Ch%C5%ABkasoba+Katsumoto/data=!4m2!3m1!1s0x60188c3f8fb8a785:0x491d942bcd963254,,
Jimbocho Book Town,שכונה מגניבה עם ראמנים שווים,https://www.google.com/maps/place/Jimbocho+Book+Town/data=!4m2!3m1!1s0x60188dce2211f995:0xe22eeafa479cd390,,
Tokyo City Flea Market,פתוח רק בסופש,https://www.google.com/maps/place/Tokyo+City+Flea+Market/data=!4m2!3m1!1s0x60186100092777c3:0xfdcb6cb658a5f045,,
JINS Tokyo Station Gransta Yaesu,,https://www.google.com/maps/place/JINS+Tokyo+Station+Gransta+Yaesu/data=!4m2!3m1!1s0x60188bfc0624b3eb:0x2d40ed95c4f96d0f,,
Hachimanyama Ropeway,,https://www.google.com/maps/place/Hachimanyama+Ropeway/data=!4m2!3m1!1s0x6001799b76b1283f:0x6df89b3f481dca,,
אומיהאצ'ימאן,,https://www.google.com/maps/place/%D7%90%D7%95%D7%9E%D7%99%D7%94%D7%90%D7%A6'%D7%99%D7%9E%D7%90%D7%9F%E2%80%AD/data=!4m2!3m1!1s0x60017997600421d5:0x761e42256d84d3b7,,
Kusatsu,,https://www.google.com/maps/place/Kusatsu/data=!4m2!3m1!1s0x601de7cae803dfe9:0xfd7719d95b1f956b,,
Houkokuji,,https://www.google.com/maps/place/Houkokuji/data=!4m2!3m1!1s0x6018442d28cbf7a7:0x72746d1149c32ef7,,
komachi dori street,,https://www.google.com/maps/place/komachi+dori+street/data=!4m2!3m1!1s0x6018450020202bed:0x517deabdfa776d46,,
Kotoku-in,,https://www.google.com/maps/place/Kotoku-in/data=!4m2!3m1!1s0x601845f2df49bc05:0x1ec393b02d6bef4c,,
Tsurugaoka Hachimangu,,https://www.google.com/maps/place/Tsurugaoka+Hachimangu/data=!4m2!3m1!1s0x601845b87890aa89:0xa867ad10105036b5,,
Hasedera,,https://www.google.com/maps/place/Hasedera/data=!4m2!3m1!1s0x601845f4077127d5:0x57eb6150baf7add1,,
Meat Master NAKATA main store,ואגיו,https://www.google.com/maps/place/Meat+Master+NAKATA+main+store/data=!4m2!3m1!1s0x6000e71370f515bd:0x2151ef48f7a663e4,,
Age.3 GINZA (Fried Bread Cafe),,https://www.google.com/maps/place/Age.3+GINZA+(Fried+Bread+Cafe)/data=!4m2!3m1!1s0x60188b9dffe9b1e7:0xf81b31918420debe,,
Ginza Kagari - Soba,,https://www.google.com/maps/place/Ginza+Kagari+-+Soba/data=!4m2!3m1!1s0x60188b206409298f:0x82596ca4626f1e33,,
Menbaka Fire Ramen,,https://www.google.com/maps/place/Menbaka+Fire+Ramen/data=!4m2!3m1!1s0x600107d72c3a7369:0x39def3550eae450d,,
